1
13 31 481
0 64 -177 64
32 64 -145 64
64 64 -113 64
96 64 -81 64
128 64 -49 64
160 64 -17 64
192 64 15 64
224 64 47 64
256 64 79 64
288 64 111 64
320 64 143 64
352 64 175 64
384 64 207 64
416 64 239 64
448 64 271 64
480 64 303 64
512 64 335 64
544 64 367 64
576 64 399 64
608 64 431 64
640 64 463 64
672 64 495 64
704 64 527 64
736 64 559 64
768 64 591 64
800 64 623 64
832 64 655 64
864 64 687 64
896 64 719 64
928 64 751 64
960 64 783 64
0 96 -177 96
32 96 -145 96
64 96 -113 96
96 96 -81 96
128 96 -49 96
160 96 -17 96
192 96 15 96
224 96 47 96
256 96 79 96
288 96 111 96
320 96 143 96
352 96 175 96
384 96 207 96
416 96 239 96
448 96 271 96
480 96 303 96
512 96 335 96
544 96 367 96
576 96 399 96
608 96 431 96
640 96 463 96
672 96 495 96
704 96 527 96
736 96 559 96
768 96 591 96
800 96 623 96
832 96 655 96
864 96 687 96
896 96 719 96
928 96 751 96
960 96 783 96
0 128 -177 128
32 128 -145 128
64 128 -113 128
96 128 -81 128
128 128 -49 128
160 128 -17 128
192 128 15 128
224 128 47 128
256 128 79 128
288 128 111 128
320 128 143 128
352 128 175 128
384 128 207 128
416 128 239 128
448 128 271 128
480 128 303 128
512 128 335 128
544 128 367 128
576 128 399 128
608 128 431 128
640 128 463 128
672 128 495 128
704 128 527 128
736 128 559 128
768 128 591 128
800 128 623 128
832 128 655 128
864 128 687 128
896 128 719 128
928 128 751 128
960 128 783 128
0 160 -177 160
32 160 -145 160
64 160 -113 160
96 160 -81 160
128 160 -49 160
160 160 -17 160
192 160 15 160
224 160 47 160
256 160 79 160
288 160 111 160
320 160 143 160
352 160 175 160
384 160 207 160
416 160 239 160
448 160 271 160
480 160 303 160
512 160 335 160
544 160 367 160
576 160 399 160
608 160 431 160
640 160 463 160
672 160 495 160
704 160 527 160
736 160 559 160
768 160 591 160
800 160 623 160
832 160 655 160
864 160 687 160
896 160 719 160
928 160 751 160
960 160 783 160
0 192 -177 192
32 192 -145 192
64 192 -113 192
96 192 -81 192
128 192 -49 192
160 192 -17 192
192 192 15 192
224 192 47 192
256 192 79 192
288 192 111 192
320 192 143 192
352 192 175 192
384 192 207 192
416 192 239 192
448 192 271 192
480 192 303 192
512 192 335 192
544 192 367 192
576 192 399 192
608 192 431 192
640 192 463 192
672 192 495 192
704 192 527 192
736 192 559 192
768 192 591 192
800 192 623 192
832 192 655 192
864 192 687 192
896 192 719 192
928 192 751 192
960 192 783 192
0 224 -177 224
32 224 -145 224
64 224 -113 224
96 224 -81 224
128 224 -49 224
160 224 -17 224
192 224 15 224
224 224 47 224
256 224 79 224
288 224 111 224
320 224 143 224
352 224 175 224
384 224 207 224
416 224 239 224
448 224 271 224
480 224 303 224
512 224 335 224
544 224 367 224
576 224 399 224
608 224 431 224
640 224 463 224
672 224 495 224
704 224 527 224
736 224 559 224
768 224 591 224
800 224 623 224
832 224 655 224
864 224 687 224
896 224 719 224
928 224 751 224
960 224 783 224
0 256 -177 256
32 256 -145 256
64 256 -113 256
96 256 -81 256
128 256 -49 256
160 256 -17 256
192 256 15 256
224 256 47 256
256 256 79 256
288 256 111 256
320 256 143 256
352 256 175 256
384 256 207 256
416 256 239 256
448 256 271 256
480 256 303 256
512 256 335 256
544 256 367 256
576 256 399 256
608 256 431 256
640 256 463 256
672 256 495 256
704 256 527 256
736 256 559 256
768 256 591 256
800 256 623 256
832 256 655 256
864 256 687 256
896 256 719 256
928 256 751 256
960 256 783 256
0 288 -177 288
32 288 -145 288
64 288 -113 288
96 288 -81 288
128 288 -49 288
160 288 -17 288
192 288 15 288
224 288 47 288
256 288 79 288
288 288 111 288
320 288 143 288
352 288 175 288
384 288 207 288
416 288 239 288
448 288 271 288
480 288 303 288
512 288 335 288
544 288 367 288
576 288 399 288
608 288 431 288
640 288 463 288
672 288 495 288
704 288 527 288
736 288 559 288
768 288 591 288
800 288 623 288
832 288 655 288
864 288 687 288
896 288 719 288
928 288 751 288
960 288 783 288
0 320 -177 320
32 320 -145 320
64 320 -113 320
96 320 -81 320
128 320 -49 320
160 320 -17 320
192 320 15 320
224 320 47 320
256 320 79 320
288 320 111 320
320 320 143 320
352 320 175 320
384 320 207 320
416 320 239 320
448 320 271 320
480 320 303 320
512 320 335 320
544 320 367 320
576 320 399 320
608 320 431 320
640 320 463 320
672 320 495 320
704 320 527 320
736 320 559 320
768 320 591 320
800 320 623 320
832 320 655 320
864 320 687 320
896 320 719 320
928 320 751 320
960 320 783 320
0 352 -177 352
32 352 -145 352
64 352 -113 352
96 352 -81 352
128 352 -49 352
160 352 -17 352
192 352 15 352
224 352 47 352
256 352 79 352
288 352 111 352
320 352 143 352
352 352 175 352
384 352 207 352
416 352 239 352
448 352 271 352
480 352 303 352
512 352 335 352
544 352 367 352
576 352 399 352
608 352 431 352
640 352 463 352
672 352 495 352
704 352 527 352
736 352 559 352
768 352 591 352
800 352 623 352
832 352 655 352
864 352 687 352
896 352 719 352
928 352 751 352
960 352 783 352
0 384 -177 384
32 384 -145 384
64 384 -113 384
96 384 -81 384
128 384 -49 384
160 384 -17 384
192 384 15 384
224 384 47 384
256 384 79 384
288 384 111 384
320 384 143 384
