1
13 31 284
0 64 0 64
32 64 32 64
64 64 64 64
96 64 96 64
128 64 128 64
160 64 160 64
192 64 192 64
224 64 224 64
256 64 256 64
288 64 288 64
320 64 320 64
352 64 352 64
384 64 384 64
416 64 416 64
448 64 448 64
480 64 480 64
512 64 512 64
544 64 544 64
576 64 576 64
608 64 608 64
640 64 640 64
672 64 672 64
704 64 704 64
736 64 736 64
768 64 768 64
800 64 800 64
832 64 832 64
864 64 864 64
896 64 896 64
928 64 928 64
960 64 960 64
0 96 0 96
32 96 32 96
64 96 64 96
96 96 96 96
128 96 128 96
160 96 160 96
192 96 192 96
224 96 224 96
256 96 256 96
288 96 288 96
320 96 320 96
352 96 352 96
384 96 384 96
416 96 416 96
448 96 448 96
480 96 480 96
512 96 512 96
544 96 544 96
576 96 576 96
608 96 608 96
640 96 640 96
672 96 672 96
704 96 704 96
736 96 736 96
768 96 768 96
800 96 800 96
832 96 832 96
864 96 864 96
896 96 896 96
928 96 928 96
960 96 960 96
0 128 0 128
32 128 32 128
64 128 64 128
96 128 96 128
128 128 128 128
160 128 160 128
192 128 192 128
224 128 224 128
256 128 256 128
288 128 288 128
320 128 320 128
352 128 352 128
384 128 384 128
416 128 416 128
448 128 448 128
480 128 480 128
512 128 512 128
544 128 544 128
576 128 576 128
608 128 608 128
640 128 640 128
672 128 672 128
704 128 704 128
736 128 736 128
768 128 768 128
800 128 800 128
832 128 832 128
864 128 864 128
896 128 896 128
928 128 928 128
960 128 960 128
0 160 0 160
32 160 32 160
64 160 64 160
96 160 96 160
128 160 128 160
160 160 160 160
192 160 192 160
224 160 224 160
256 160 256 160
288 160 288 160
320 160 320 160
352 160 352 160
384 160 384 160
416 160 416 160
448 160 448 160
480 160 480 160
512 160 512 160
544 160 544 160
576 160 576 160
608 160 608 160
640 160 640 160
672 160 672 160
704 160 704 160
736 160 736 160
768 160 768 160
800 160 800 160
832 160 832 160
864 160 864 160
896 160 896 160
928 160 928 160
960 160 960 160
0 192 0 192
32 192 32 192
64 192 64 192
96 192 96 192
128 192 128 192
160 192 160 192
192 192 192 192
224 192 224 192
256 192 256 192
288 192 288 192
320 192 320 192
352 192 352 192
384 192 384 192
416 192 416 192
448 192 448 192
480 192 480 192
512 192 512 192
544 192 544 192
576 192 576 192
608 192 608 192
